,name,phases,kV,kVs,kVA,amp_limit_per_phase,max_per_unit_loading,status
0,1477_0_3735_0,1,0.12,"[4.8, 0.12, 0.12]",75.0,15.625,0.0547,normal
1,1477_0_1956_0,1,0.12,"[4.8, 0.12, 0.12]",37.5,7.8125,0.3363,normal
2,1477_0_1925_0,1,0.12,"[4.8, 0.12, 0.12]",50.0,10.416666666666668,0.51,normal
3,1477_0_2183_0,1,0.12,"[4.8, 0.12, 0.12]",25.0,5.208333333333334,0.53,normal
4,1477_0_3619_0,1,0.12,"[4.8, 0.12, 0.12]",25.0,5.208333333333334,1.1466,overloaded
5,1477_0_2089_0,1,0.12,"[4.8, 0.12, 0.12]",37.5,7.8125,0.4552,normal
6,1477_0_2607_0,1,0.12,"[4.8, 0.12, 0.12]",25.0,5.208333333333334,0.7638,normal
7,1477_0_2614_0,1,0.12,"[4.8, 0.12, 0.12]",25.0,5.208333333333334,0.9126,normal
8,1477_0_3494_0,3,0.48,"[4.8, 0.48]",150.0,18.042195912175806,0.0078,normal
9,1477_0_3645_0,1,0.12,"[4.8, 0.12, 0.12]",25.0,5.208333333333334,0.9678,normal
10,1477_0_3672_0,1,0.12,"[4.8, 0.12, 0.12]",50.0,10.416666666666668,0.3681,normal
11,1477_0_2370_0,1,0.12,"[4.8, 0.12, 0.12]",50.0,10.416666666666668,0.7279,normal
12,1477_0_2344_0,1,0.12,"[4.8, 0.12, 0.12]",25.0,5.208333333333334,0.0015,normal
13,1477_0_2675_0,1,0.12,"[4.8, 0.12, 0.12]",37.5,7.8125,0.6497,normal
14,1477_0_1919_0,1,0.12,"[4.8, 0.12, 0.12]",37.5,7.8125,0.2509,normal
15,1477_0_2590_0,1,0.12,"[4.8, 0.12, 0.12]",25.0,5.208333333333334,0.8904,normal
16,1477_0_3710_0,1,0.12,"[4.8, 0.12, 0.12]",75.0,15.625,0.0182,normal
17,1478_0_3456_0,1,0.12,"[4.8, 0.12, 0.12]",50.0,10.416666666666668,0.5832,normal
18,1478_0_3950_0,1,0.12,"[4.8, 0.12, 0.12]",37.5,7.8125,0.6337,normal
19,1477_0_3641_0,1,0.12,"[4.8, 0.12, 0.12]",25.0,5.208333333333334,0.6626,normal
20,1478_0_4061_0,1,0.12,"[4.8, 0.12, 0.12]",37.5,7.8125,0.4277,normal
21,1478_0_3945_0,1,0.12,"[4.8, 0.12, 0.12]",25.0,5.208333333333334,0.3897,normal
22,1477_0_4005_0,1,0.12,"[4.8, 0.12, 0.12]",25.0,5.208333333333334,0.8323,normal
23,1477_0_2531_0,1,0.12,"[4.8, 0.12, 0.12]",50.0,10.416666666666668,0.5587,normal
24,1477_0_3546_0,1,0.12,"[4.8, 0.12, 0.12]",25.0,5.208333333333334,0.4281,normal
25,1477_0_2488_0,1,0.12,"[4.8, 0.12, 0.12]",37.5,7.8125,0.5724,normal
26,1477_0_2500_0,1,0.12,"[4.8, 0.12, 0.12]",75.0,15.625,0.0322,normal
27,1478_0_3288_0,1,0.12,"[4.8, 0.12, 0.12]",15.0,3.125,0.9239,normal
28,1478_0_3295_0,1,0.12,"[4.8, 0.12, 0.12]",25.0,5.208333333333334,0.7745,normal
29,1477_0_2173_0,1,0.12,"[4.8, 0.12, 0.12]",37.5,7.8125,0.5367,normal
30,1477_0_3692_0,1,0.12,"[4.8, 0.12, 0.12]",30.0,6.25,0.0496,normal
31,1477_0_4039_0,1,0.12,"[4.8, 0.12, 0.12]",50.0,10.416666666666668,0.7362,normal
